"Penalty","StimType","R_Mean","R_SelIndex_SelThumb","R_SelIndex_SelPinky","R_SelIndex_NnSelIndex","R_SelIndex_NnSelThumb","R_SelIndex_NnSelPinky","CI_SelIndex_SelThumb","CI_SelIndex_SelPinky","CI_SelIndex_NnSelIndex","CI_SelIndex_NnSelThumb","CI_SelIndex_NnSelPinky","p_SelIndex_SelThumb","p_SelIndex_SelPinky","p_SelIndex_NnSelIndex","p_SelIndex_NnSelThumb","p_SelIndex_NnSelPinky"
"1","1",0.408883742046864,0.616514162161296,0.464593388154744,0.461003054186497,0.299729241811825,0.202578863919959,0.0613480515370093,0.0764525409230676,0.0735926778496051,0.0837952416129299,0.087505350050478,0,0,0,0,0
"1","2",0.271512601538372,0.572676047681541,0.350737059906077,0.226454856697811,0.0981846574596897,0.109510385946742,0.0634672846786868,0.0811215423885556,0.0867596421472392,0.0895176739040674,0.0893965691794923,0,0,0,0.029,0.0185
"1","3",0.219816332225101,0.473364078724304,0.268195981464385,0.171290542718965,0.106700847292906,0.0795302109249426,0.072597173877572,0.0851966746020304,0.0883206095978789,0.0894287987649665,0.0896661379404064,0,0,0,0.02,0.085
"1","4",0.195476433213173,0.641091767027989,0.10052272087858,0.06806471426467,0.0422566984913742,0.125446265403253,0.0559866961025476,0.089494593385305,0.0897260097438398,0.0897738122603262,0.0891863822950436,0,0.029,0.1355,0.3395,0.007
"2","1",0.425138671635242,0.615016100290461,0.438528619832055,0.455597360967557,0.379316732583952,0.237234544502184,0.061521508121907,0.0785479781063847,0.0740183358408179,0.0794014530029798,0.0863876999369089,0,0,0,0,0
"2","2",0.424953118684842,0.561133461550541,0.545998660551748,0.409885541701077,0.288274254213992,0.319473675406853,0.0646327679275495,0.0661190907091247,0.0773833540600042,0.0843264284165967,0.0828202072405775,0,0,0,0,0
"2","3",0.275194391826506,0.491818724389503,0.357186416102083,0.253500115585534,0.124949599930964,0.148517103124448,0.0710533232324722,0.0807473881882736,0.085784752466197,0.0891936370424315,0.0887992963768335,0,0,0,0.006,0.001
"2","4",0.289453095404952,0.541337086425809,0.361713165135848,0.246273205025054,0.173005562988486,0.124936457449561,0.0665673408545687,0.0804799049236438,0.0860588526760527,0.0882806583311617,0.0891938283975072,0,0,0,0,0.006
