"","Penalty","StimType","R_Mean","R_SelIndex_SelThumb","R_SelIndex_SelPinky","R_SelIndex_NnSelIndex","R_SelIndex_NnSelThumb","R_SelIndex_NnSelPinky","p_SelIndex_SelThumb","p_SelIndex_SelPinky","p_SelIndex_NnSelIndex","p_SelIndex_NnSelThumb","p_SelIndex_NnSelPinky"
"1","1","1",0.408883742046864,0.616514162161296,0.464593388154744,0.461003054186497,0.299729241811825,0.202578863919959,0,0,0,0,0
"2","1","2",0.271512601538372,0.572676047681541,0.350737059906077,0.226454856697811,0.0981846574596897,0.109510385946742,0,0,0,0.029,0.0185
"3","1","3",0.219816332225101,0.473364078724304,0.268195981464385,0.171290542718965,0.106700847292906,0.0795302109249426,0,0,0,0.02,0.085
"4","1","4",0.195476433213173,0.641091767027989,0.10052272087858,0.06806471426467,0.0422566984913742,0.125446265403253,0,0.029,0.1355,0.3395,0.007
"5","2","1",0.425138671635242,0.615016100290461,0.438528619832055,0.455597360967557,0.379316732583952,0.237234544502184,0,0,0,0,0
"6","2","2",0.424953118684842,0.561133461550541,0.545998660551748,0.409885541701077,0.288274254213992,0.319473675406853,0,0,0,0,0
"7","2","3",0.275194391826506,0.491818724389503,0.357186416102083,0.253500115585534,0.124949599930964,0.148517103124448,0,0,0,0.006,0.001
"8","2","4",0.289453095404952,0.541337086425809,0.361713165135848,0.246273205025054,0.173005562988486,0.124936457449561,0,0,0,0,0.006
